"ExpandKeywords(3000)-US-B0DDX8MYKQ,B0CTJGJL2T,B0CGZS5129,B0CXJ9338V,B0CZ9F35PT,B0CQQLYD3W,B0C2771TLS,B0CDRDK6MR,B0CFLRBTYN,B0C27FG8L9-Last-30-days-20250108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关键词,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN
gifts for 20 year old female,给20岁女性的礼物,,0.02%,自然搜索词,"1,814 ",1 ,B0C27FG8L9,"162,777","8,870 ",213 ,2.41%,"214,447 ","4,353 ",5 ,4 ,"1,285 ",6.9 ,23 ,19.8%,8.8%,$0.76,$0.57 - $0.95,B0B4HKNDLQ,9.3%,3.8%,B09319MZJN,6.5%,3.8%,B0CRB6S1Q9,4.0%,1.3%,"B0BX37VYG9,B0D6XSWGRB,B07L5QGF38,B07KWSL1SG,B07S651GSW,B08GC1G4Y9,B004EDWMBO,B075P7R3VN,B0CC89LQ6Q,B0CNJZQFZ9"
boho home decor,波西米亚家居装饰,,0.02%,自然搜索词,"1,810 ",2 ,B0CGZS5129/B0C27FG8L9,"67,131","19,680 ",320 ,1.63%,"449,899 ","8,310 ",8 ,10 ,"83,565 ",0.2 ,159 ,12.8%,3.2%,$1.14,$0.86 - $1.37,B0D8KWXKYH,6.8%,3.2%,B0B1X5GF89,3.2%,0.0%,B0CD59K7PX,2.8%,0.0%,"B09H5JZC97,B0B27WGC8Q,B09KGVJNRW,B0CJYB84W2,B085HLWXHN,B0C2PS76FG,B09YHD86CD,B0CD59K7PX,B0C7V67VVV,B0CK5KC9WW"
gufts for mom,对妈妈的愧疚,,0.02%,自然搜索词,"1,807 ",3 ,B0CGZS5129/B0CDRDK6MR/B0C2771TLS,"309,560","3,060 ",108 ,3.53%,"64,933 ","1,200 ",3 ,0 ,"167,009 ",0.0 ,23 ,12.7%,3.7%,$1.91,$1.44 - $2.40,1081439793,5.6%,1.8%,B0CV7Z3MLD,3.8%,0.0%,B09MQ5L5N9,3.3%,1.8%,"B089D3Q24T,1081439793,B07SM61FCT,B0BMQBTC26,B0C6DH1TKC,B0BR41SJYD,B0CV7Z3MLD,B0CYM8D2DK,B0CJYN69ZY,B09JT15JQF"
small lamps,小灯,,0.02%,自然搜索词,"1,805 ",5 ,B0CGZS5129/B0CDRDK6MR/B0CQQLYD3W/B0CTJGJL2T/B0CXJ9338V,"63,437","27,598 ","1,034 ",3.75%,"647,874 ","11,482 ",24 ,3 ,"15,753 ",1.8 ,106 ,15.4%,11.2%,$1.17,$0.85 - $1.39,B074XPNS3Z,6.8%,6.5%,B0BN3KYY2S,4.9%,0.0%,B0CR7CHX5Y,3.7%,4.7%,"B0BZXNSW5K,B074XPNS3Z,B07Z5NQPDS,B0CR7CHX5Y,B0CD7V7B3V,B0D41XL87F,B0BN3KYY2S,B0BHVP949X,B0B8D2K76V,B0B87KMF9W"
whimsigoth home decor,奇思妙想的家居装饰,,0.02%,视频广告词,"1,804 ",3 ,B0CGZS5129/B0C27FG8L9/B0CDRDK6MR,"174,342","8,911 ",244 ,2.75%,"182,357 ","3,413 ",6 ,3 ,"1,532 ",5.8 ,19 ,22.1%,14.3%,$0.20,$0.18 - $0.25,B07HY1XHNV,9.6%,0.0%,B088FK1D4Y,6.7%,14.3%,B088R2MKW2,5.9%,0.0%,"B0B9MW62QR,B07HY1XHNV,B0CBX4R847,B07YFBTWV1,B0C592QM4G,B088FK1D4Y,B0CNZPQBNB,B088R2MKW2,B01N0LM79O,B0B62HB47H"
top gifts,顶级礼物,,0.02%,自然搜索词,"1,800 ",3 ,B0CGZS5129/B0CDRDK6MR/B0C2771TLS,"305,914","4,670 ",319 ,6.84%,"110,738 ","1,974 ",8 ,0 ,"141,260 ",0.0 ,42 ,11.1%,9.1%,$1.97,$1.48 - $2.46,B0CP9YF9W7,5.1%,6.1%,B08GC1G4Y9,3.2%,3.0%,B07SM61FCT,2.8%,0.0%,"B07SM61FCT,B09RN1ZH6L,B0C9JLBY6V,B0BWJRJYS7,B0BNYR7MQV,B09F2J4SX1,B09PCSR9SX,B01DTFF0Y8,B0BRKPVZB4,B0BJV68C17"
battery operated candle warmer cordless,电池供电蜡烛加热器无绳,,0.02%,自然搜索词/品牌广告词,"1,797 ",7 ,B0CXJ9338V/B0DDX8MYKQ/B0CQQLYD3W/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR/B0CZ9F35PT,"892,969",935 ,24 ,2.63%,"25,440 ",358 ,1 ,0 ,600 ,1.6 ,36 ,23.3%,0.0%,,-,B0B1TGKYBV,9.6%,0.0%,B0BQ3FYXRY,6.9%,0.0%,B0BZPH17TR,6.9%,0.0%,"B0CGZS5129,B0036FQDA2,B09BVR2Q9N,B0B1TGKYBV,B0CTJGJL2T,B0BZPH17TR,B0CQP729RC,B096ZS566G,B0B3SSFF7Y,B0BX8B5Y9W"
candle jars,蜡烛罐,,0.02%,自然搜索词,"1,796 ",3 ,B0DDX8MYKQ/B0CDRDK6MR/B0CTJGJL2T,"26,696","61,851 ","1,354 ",2.19%,"1,275,286 ","30,179 ",31 ,43 ,"28,469 ",2.2 ,148 ,22.9%,11.6%,$0.57,$0.43 - $0.73,B0CQR8YT8G,9.9%,4.8%,B0B5GKG5YX,7.7%,5.2%,B07VR196PK,5.3%,1.6%,"B000C2TB6U,B000JDGC78,B08Q7G4WVW,B000WUFVR0,B07VR196PK,B09J818WRT,B000ORX6WI,B0D3F2DP9V,B0B5GL33FM,B09J8273ZF"
wellness gifts,健康礼物,,0.02%,自然搜索词,"1,787 ",1 ,B0C27FG8L9,"59,457","16,481 ",397 ,2.41%,"426,199 ","7,826 ",9 ,0 ,"165,852 ",0.1 ,80 ,15.6%,8.0%,$0.70,$0.52 - $0.88,B00N24PK6A,8.7%,3.3%,B09Z9S569D,3.8%,2.0%,B088BXDJPZ,3.0%,2.7%,"B0BJYCRS51,B08TLWYKLS,B07SM61FCT,B00I1QCPHQ,B08MLB2B4H,B0CC3HGBGD,B004EDWMBO,B08T95SST2,B07G142F9Z,B0BX6B67T8"
new home decor,新的家居装饰,,0.02%,自然搜索词/HR推荐词/SP广告词,"1,781 ",4 ,B0DDX8MYKQ/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR,"594,815","1,701 ",40 ,2.37%,"38,209 ",793 ,1 ,7 ,"131,112 ",0.0 ,125 ,15.3%,8.3%,$1.36,$1.01 - $1.70,B09ZRT5QPG,8.1%,0.0%,B0C2Y3T5LN,3.6%,8.3%,B0C6L1P8JV,3.6%,0.0%,"B0DB7HQ8W7,B07G853D6N,B0CNNLM8CZ,B0CSFS455Q,B0D5QMS8BN,B0CN2XT519,B000QTUJXS,B08LZG71KZ,B0DHZS9QLN,B0CN2XTCFT"
boho gifts,波西米亚风礼物,,0.02%,自然搜索词,"1,777 ",2 ,B0C27FG8L9/B0CGZS5129,"319,811","6,180 ",87 ,1.42%,"155,271 ","2,575 ",2 ,2 ,"103,230 ",0.1 ,66 ,11.2%,11.6%,$1.72,$1.28 - $2.15,B096KWFV2K,3.9%,7.0%,B0BN9XZJY4,3.9%,0.0%,B0BBBZ3MNP,3.4%,4.7%,"B07R2B2NC8,B085HLWXHN,B0C6415M6Z,B09KGVJNRW,B09H5JZC97,B07VKLLL5Y,B0B1975JYZ,B0CD7884D2,B0CKQTJP7L,B09KGJ5L9D"
flower decor,花卉装饰,,0.02%,自然搜索词,"1,766 ",1 ,B0C27FG8L9,"164,045","7,312 ",25 ,0.35%,"176,164 ","3,079 ",1 ,4 ,"114,403 ",0.1 ,55 ,12.4%,4.4%,$0.83,$0.51 - $0.94,B09H5JZC97,4.8%,0.0%,B08861KXR2,4.0%,0.0%,B095P43V29,3.5%,4.4%,"B09H5JZC97,B09KGVJNRW,B08RRT7K17,B0BJNZV8LM,B0BGQLZ921,B093DDBMT5,B0B1975JYZ,B0CD59K7PX,B095P43V29,B09CT3S9VT"
candle for candle warmer,蜡烛,,0.02%,自然搜索词,"1,765 ",9 ,B0CTJGJL2T/B0CZ9F35PT/B0CFLRBTYN/B0CXJ9338V/B0DDX8MYKQ/B0CQQLYD3W/B0CGZS5129/B0CDRDK6MR/B0C2771TLS,"284,779","3,158 ",83 ,2.63%,"63,577 ","1,274 ",2 ,0 ,"11,296 ",0.3 ,13 ,23.0%,14.1%,$1.67,$1.50 - $2.50,B01N0RSCBI,11.3%,7.0%,B0BVQPNDKM,6.1%,1.4%,B07HJB8LMD,5.6%,5.6%,"B0C28S8CY8,B01N0RSCBI,B0DCTY6YG9,B0CBTDXGMZ,B0D9KS6552,B0BBB1TYR2,B0D7KYJF1Z,B0CP7QMZF9,B0CY225YND,B0BLWJKM2S"
new mom christmas gifts,新妈妈圣诞礼物,,0.02%,自然搜索词,"1,761 ",2 ,B0CGZS5129/B0CDRDK6MR,"312,874","2,702 ",107 ,3.99%,"56,970 ","1,292 ",3 ,1 ,"44,228 ",0.1 ,11 ,17.5%,11.1%,$1.69,$1.26 - $2.10,B08GLLDSNQ,7.1%,4.2%,1728235847,5.2%,4.2%,B0D8H1VDV2,5.2%,2.8%,"B0CGHP95LB,B07KWHTH81,B0BWJRJYS7,B014HWRC70,B09NVB368H,B0CGZS5129,B0C1NYVZ8W,B09SP272H8,B0D2GZJFTV,B0C7C9PYNV"
home decor for men,男士家居装饰,,0.02%,自然搜索词,"1,757 ",2 ,B0C2771TLS/B0CTJGJL2T,"314,070","5,018 ",35 ,0.70%,"113,024 ","2,374 ",1 ,0 ,"118,245 ",0.0 ,35 ,15.7%,12.5%,$1.49,$1.01 - $1.69,B09ZRT5QPG,6.7%,6.3%,B000QTUJXS,4.8%,6.3%,B0C6JQ9XDP,4.3%,0.0%,"B0CGDSKY41,B09FXNP8KH,B00IKCCWXS,B0CY3KQQLP,B000QTUJXS,B09ZRT5QPG,B0C14D1GDY,B0CC5Q5QRR,B09DL6GD2V,B074KFP426"
bestfriend gift ideas,最好的朋友礼物创意,,0.02%,自然搜索词,"1,756 ",1 ,B0C27FG8L9,"60,362","6,328 ",229 ,3.62%,"187,590 ","3,055 ",6 ,2 ,"7,369 ",0.9 ,81 ,17.5%,9.6%,$0.73,$0.55 - $0.91,B0CW6B5HS9,7.6%,6.6%,1601066902,6.1%,0.0%,B0CJBGQ4JS,3.8%,3.0%,"B0CJBGQ4JS,B000CQX62G,1601066902,B095JZTMGX,B0BBVXRZ3F,B0739SV867,B0CJ5NJYFF,B094V1M348,B0C7Z8KJF1,B09Z2HH4HF"
wood decor,木质装饰,,0.02%,自然搜索词/HR推荐词/SP广告词,"1,753 ",1 ,B0CDRDK6MR,"168,417","7,213 ",38 ,0.54%,"144,352 ","3,321 ",1 ,2 ,"134,696 ",0.1 ,214 ,14.2%,5.6%,$0.86,$0.51 - $1.08,B0C68RBNYL,5.4%,5.6%,B0BYSVGS2Q,4.9%,0.0%,B07F31FSC6,3.9%,0.0%,"B082HR4RV3,B0B5QDWZKF,B0CXF8MWZ7,B09ZRT5QPG,B0BQHX77TC,B0BZH955XN,B0C4T4BVT3,B0BZH6YNJJ,B0C6TTZ5MC,B07VK1TH6N"
desk lamp,桌灯,,0.02%,SP广告词,"1,750 ",1 ,B0CGZS5129,"1,153","472,264 ","16,670 ",3.53%,"12,776,792 ","193,159 ",379 ,68 ,"18,364 ",25.7 ,463 ,23.5%,15.6%,$1.50,$1.08 - $1.72,B0C4JTPPYY,12.8%,9.0%,B0BZXNSW5K,5.7%,2.9%,B08923SXXP,5.1%,3.8%,"B0BB5ZBT42,B0C4JTPPYY,B0BZXNSW5K,B0D41XL87F,B0868HY623,B08923SXXP,B0C4SZBN64,B08SK4DMHR,B0BNHNG5CY,B08F5BNWBR"
candle warmer lamp blue,蓝色蜡烛加热器灯,,0.02%,视频广告词,"1,748 ",10 ,B0DDX8MYKQ/B0CQQLYD3W/B0C27FG8L9/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR/B0CZ9F35PT/B0C2771TLS/B0CFLRBTYN/B0CXJ9338V,"905,859",742 ,25 ,3.37%,"20,873 ",362 ,1 ,0 ,522 ,1.4 ,7 ,43.1%,23.1%,$1.51,$1.22 - $1.80,B0CMCX57ZS,16.7%,0.0%,B0D5YBDNLK,13.9%,15.4%,B0CLR4XKQR,12.5%,7.7%,"B0CYHJDMV8,B0D8VNFYL6,B0D5YBDNLK,B0CPHLC8WX,B0CDXJXYZC,B0D12BVDFG,B0CLR4XKQR,B0CYP3RL42,B0CKVFY5G7,B0CKT9W8NB"
table lamp,台灯,,0.02%,SP广告词,"1,729 ",2 ,B0CGZS5129/B0CDRDK6MR,"3,363","260,412 ","2,994 ",1.15%,"7,193,509 ","115,970 ",68 ,72 ,"15,245 ",17.1 ,"1,217 ",14.2%,13.6%,$2.21,$1.29 - $2.91,B074XPNS3Z,5.5%,6.2%,B0BZXNSW5K,5.4%,4.6%,B0BHVP949X,3.3%,2.8%,"B0C4SZBN64,B0CHQRB7YN,B07GZD3K1H,B0BZXNSW5K,B0CHHFKWPV,B074XPNS3Z,B0D41XL87F,B09Z7YWHRY,B08F5BNWBR,B087CDBKCH"
bedroom,卧室,,0.02%,自然搜索词,"1,710 ",1 ,B0CGZS5129,"14,484","69,637 ",118 ,0.17%,"1,765,980 ","31,593 ",3 ,70 ,"157,750 ",0.4 ,147 ,13.5%,21.1%,$2.52,$1.89 - $3.16,B09L6Z6679,5.4%,5.6%,B0C2MHG632,4.1%,12.7%,B0B4ZSKPNL,4.1%,2.8%,"B0BZDLT95R,B0C2MHG632,B08DFLJL24,B0CN2LPS56,B0BYSQPLJN,B09MVQZ7VM,B0DHKY163G,B0C4H3Z6K7,B0DFVY2BWP,B09L6Z6679"
kitchen table decor,厨房餐桌装饰,,0.02%,自然搜索词,"1,700 ",1 ,B0CDRDK6MR,"63,176","13,607 ",65 ,0.48%,"286,542 ","5,793 ",2 ,4 ,"115,905 ",0.1 ,343 ,18.2%,4.8%,$0.61,$0.46 - $0.75,B09NC1VGTW,8.1%,0.0%,B09YPSGNTG,5.5%,0.0%,B0C3HF71BR,4.6%,4.8%,"B07CYWKJRY,B0BCPZYRSY,B0CCDDDK3H,B0C3HF71BR,B078BN48DV,B09YHD86CD,B07DQCJ84X,B0BJNZV8LM,B0BCY4BHLY,B0CJJ229ZX"
calcifer lamp,钙化灯,,0.02%,HR推荐词,"1,699 ",2 ,B0CGZS5129/B0CDRDK6MR,"176,912","8,145 ",221 ,2.72%,"200,813 ","3,503 ",6 ,10 ,110 ,74.1 ,62 ,56.1%,51.3%,$0.54,$0.46 - $0.80,B0D96MWK1Q,36.3%,35.9%,B0DPX355D3,11.9%,5.1%,B0D9GTFB6S,7.9%,10.3%,"B0D96MWK1Q,B0DBGC6G9L,B0D9GTFB6S,B0D5TPNTDP,B0D9KMK41L,B0D97G133L,B0DP2YQ65R,B0DGTF5Q1P,B0DCDJSDDF,B0DFXXRS6G"
silver candle warmer,银色烛台,,0.02%,自然搜索词/品牌广告词/SP广告词,"1,699 ",8 ,B0CXJ9338V/B0DDX8MYKQ/B0CQQLYD3W/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR/B0CFLRBTYN/B0CZ9F35PT,"803,517","1,312 ",40 ,3.07%,"38,437 ",583 ,1 ,0 ,536 ,2.5 ,18 ,36.6%,11.1%,$1.49,$1.21 - $1.73,B0CRQLY4R6,17.1%,0.0%,B0DFCTWQDW,14.6%,11.1%,B0BWJRJYS7,4.9%,0.0%,"B0CFTHVHS7,B0DF1DC9K3,B06XMYPZN8,B0CLXKJQJJ,B0BGLR14SG,B0CFQXGCT6,B0DFCTWQDW,B0CG8J41Q5,B0CDBW9P5Z,B0BGXRDWX7"
room lamp,房间里的灯,,0.02%,自然搜索词,"1,688 ",1 ,B0CGZS5129,"55,040","25,694 ",817 ,3.18%,"687,518 ","9,891 ",19 ,1 ,"17,947 ",1.4 ,14 ,26.1%,20.0%,$1.59,$1.19 - $1.99,B07Z5NQPDS,13.6%,17.4%,B0BXWQHYVQ,6.3%,0.9%,B08Z36X6B4,6.2%,1.7%,"B099WTN2TR,B07Z5NQPDS,B08Z36X6B4,B0DL9BP87K,B086ZLGLV3,B07R9FZHLQ,B00HR5P8FS,B0BDL1K1QQ,B0CQY5RK52,B09TTLKHRK"
reading gifts,阅读礼物,,0.02%,自然搜索词,"1,686 ",1 ,B0CDRDK6MR,"168,779","9,602 ",762 ,7.94%,"208,811 ","4,741 ",18 ,7 ,"70,852 ",0.1 ,13 ,10.1%,14.8%,$0.76,$0.68 - $0.94,B0C6JQVWK7,4.9%,7.4%,B0C3BC4QG2,2.8%,2.5%,B0C9MCCTSF,2.3%,4.9%,"B08XXF1VCS,B07WNRN9WQ,B0C3BC4QG2,B0D9KNQV32,B0C6JQVWK7,B09PR1BTM7,B0C9MCCTSF,B08GG42WXY,B074HVK3BG,B008NBUCGA"
cute desk decor,可爱的办公桌装饰,,0.02%,自然搜索词,"1,684 ",2 ,B0CGZS5129/B0CDRDK6MR,"144,754","11,590 ",355 ,3.07%,"331,759 ","5,493 ",9 ,0 ,"78,090 ",0.2 ,186 ,13.0%,6.5%,$0.44,$0.34 - $0.56,B0CPT8QVPF,4.9%,3.2%,B00I4HV3TS,4.7%,3.2%,B0BGLL9WH6,3.4%,0.0%,"B0CG26YBFN,B00I4HV3TS,B0BG4W7G4X,B0CM9838TL,B0C2TC9HZ7,B0D6RGFCBW,B0BRMX3SWH,B0BZP1F6J5,B0BWTT3WK1,B0CG3Q4H5Q"
regalos,礼物,,0.01%,自然搜索词,"1,680 ",3 ,B0CDRDK6MR/B0C27FG8L9/B0CGZS5129,"169,233","8,365 ",269 ,3.22%,"208,448 ","3,974 ",7 ,0 ,"231,472 ",0.0 ,65 ,6.7%,2.9%,$0.20,$0.18 - $0.21,B0B7BP6CJN,2.6%,0.0%,B09B2SBHQK,2.3%,0.0%,B0CJR7T11K,1.8%,2.9%,"B00FBGKCHE,B01HRCU3SW,B07F115M6Q,B01DTFF0Y8,B07CHSN691,B0BPHQWPM4,B0BPX45TD9,B0BXCZWT5B,B0BRDZVJHV,B0CG39LPY3"
candle warmer lamp silver finish,,,0.01%,视频广告词,"1,680 ",8 ,B0CFLRBTYN/B0CXJ9338V/B0DDX8MYKQ/B0CQQLYD3W/B0CTJGJL2T/B0CDRDK6MR/B0C2771TLS/B0CZ9F35PT,"918,096","1,245 ",40 ,3.24%,"25,188 ",548 ,1 ,0 ,534 ,2.3 ,5 ,35.2%,30.0%,,-,B0DFCTWQDW,14.1%,0.0%,B0CDRDK6MR,11.3%,20.0%,B0BGLR14SG,9.9%,10.0%,"B0C4KDX6H8,B0CYCPZ29B,B0CLXKJQJJ,B0BWJRJYS7,B0CD2YQQ2F,B0BGLR14SG,B06XMYPZN8,B0C3R5J91Z,B0D94LQ5XZ,B0DDT9Y1VM"
renter friendly decor,租客友好的装饰,,0.01%,自然搜索词,"1,679 ",1 ,B0CGZS5129,"174,245","9,938 ",337 ,3.40%,"273,143 ","4,685 ",8 ,4 ,"2,692 ",3.7 ,58 ,14.4%,50.0%,$0.58,$0.43 - $0.74,B09H2T86XR,5.6%,50.0%,B073XR4X72,4.5%,0.0%,B0BZPPH94G,4.3%,0.0%,"B073XR4X72,B0CJF336RP,B08LNFTY19,B07ZLSTXKS,B09H2T86XR,B00RQHBZVS,B0993GDLC5,B09ZRT5QPG,B01KEPZVN6,B0D1KF8HKC"
cozy room decor aesthetic,舒适的房间装饰美学,,0.01%,自然搜索词/视频广告词,"1,666 ",3 ,B0C27FG8L9/B0CGZS5129/B0CDRDK6MR,"334,578","4,244 ",140 ,3.31%,"123,231 ","1,900 ",4 ,0 ,"15,712 ",0.3 ,19 ,18.3%,0.0%,$0.62,$0.46 - $0.77,B0BYSQPLJN,7.1%,0.0%,B0BPLB81LX,6.6%,0.0%,B0CG3Q4H5Q,4.6%,0.0%,"B0BPLB81LX,B08BKTTPRL,B0BYSQPLJN,B0CMTB1YHN,B074KFP426,B09D9F795R,B09N1DSMCS,B0CBHPT1N6,B09CKBR81T,B0BV37JV9D"
cool gifts for female friend,,,0.01%,自然搜索词,"1,663 ",1 ,B0C27FG8L9,"61,330","30,894 ",775 ,2.51%,"618,728 ","12,242 ",18 ,0 ,"101,160 ",0.3 ,76 ,15.5%,8.3%,$0.68,$0.50 - $0.85,B07R56J5PW,8.2%,2.5%,B0BX6B67T8,4.7%,5.0%,B07L5QGF38,2.7%,0.8%,"B0BBVXRZ3F,B07QK9C9KT,B0BX6B67T8,B0BJYCRS51,B000CQX62G,B09Z2HH4HF,B07R56J5PW,B0BPLFGJ3B,B0875PFRL8,B0B5VLBGFP"
teen bedroom decor,青少年卧室装饰,,0.01%,自然搜索词,"1,663 ",1 ,B0CGZS5129,"171,531","13,691 ",479 ,3.50%,"346,896 ","6,076 ",11 ,2 ,"40,984 ",0.3 ,30 ,16.3%,4.6%,$0.23,$0.18 - $0.30,B0CN11479K,7.6%,0.0%,B0C2MHG632,4.5%,4.6%,B0855FXYR1,4.2%,0.0%,"B0BMW361N3,B085HLWXHN,B0CK1BK9V2,B073VXWV4S,B0CNT5DMHC,B0BXWHRGTP,B0C9SMX2VP,B0CCTHQ25Q,B0D8PPC13C,B07MQ5D79Q"
black room decor,黑色房间装饰,,0.01%,自然搜索词/视频广告词,"1,660 ",1 ,B0C2771TLS,"62,921","19,114 ",66 ,0.35%,"461,693 ","8,672 ",2 ,0 ,"122,684 ",0.2 ,105 ,16.5%,12.0%,$0.57,$0.43 - $0.73,B08TRF4SMP,6.8%,8.0%,B01CS31R94,4.9%,4.0%,B0CB4PF7MK,4.9%,0.0%,"B08TRF4SMP,B08J6NQMQ5,B015SJ8AM2,B09228LT3G,B09LMC5JLX,B0BQHV84H6,B00J602EI6,B0C1W773F8,B007E4WUEO,B0BJZP3LH4"
lava lamp,熔岩灯,,0.01%,SP广告词,"1,660 ",1 ,B0CDRDK6MR,"1,198","494,707 ","10,883 ",2.21%,"13,498,406 ","223,315 ",252 ,5 ,"1,641 ",301.5 ,241 ,19.3%,13.8%,$1.42,$0.97 - $1.75,B08KSWFRLT,8.1%,6.0%,B0C5S8GN55,7.0%,4.7%,B0DBRNZMMQ,4.2%,3.1%,"B0C5S8GN55,B0C6YPF1Z4,B0CKMZGJQ6,B08KSWFRLT,B0DBRNZMMQ,B0CHTDLYB7,B0D8WB16QH,B0C5S839DD,B0C7Q4H5P3,B0CKMXN1YL"
vintage room decor aesthetic,复古房间装饰美学,,0.01%,自然搜索词,"1,657 ",3 ,B0C27FG8L9/B0CGZS5129/B0CDRDK6MR,"479,408","2,599 ",3 ,0.13%,"74,919 ","1,208 ",1 ,0 ,"37,892 ",0.1 ,16 ,10.2%,0.0%,$0.44,$0.30 - $0.57,B0CPP14VR9,4.4%,0.0%,B07W554ZNB,2.9%,0.0%,B096FNWZ44,2.9%,0.0%,"B0CPBVGP1R,B0CPBW8Q9R,B0B7XT1FYT,B09NB1LWK4,B09LQJBCT7,B0CJ3FNWT1,B0BV1TJLMB,B08Q2Y9GQS,B0B83WGNZY,B07569X4LJ"
valentines day decor,情人节装饰,,0.01%,品牌广告词/SP广告词,"1,649 ",2 ,B0CZ9F35PT/B0CDRDK6MR,"3,494","9,252 ",74 ,0.81%,"235,716 ","4,089 ",2 ,8 ,"111,132 ",0.1 ,"1,335 ",13.0%,5.1%,$1.11,$0.82 - $1.38,B0BCPJ6T1Y,5.8%,3.0%,B09JKLH1DL,4.4%,0.6%,B0BG1VJYRM,2.9%,1.5%,"B06XG2DPFC,B09CW5NCW3,B07KXQL955,B0BQ2TZ1NV,B0DK51V2RD,B09FL6YR9L,B09L7LLGS1,B0DJG2NGYB,B0DFC8LJSN,B0DN5DFG16"
favorite things party gift ideas,最喜欢的东西派对礼物的想法,,0.01%,自然搜索词,"1,648 ",1 ,B0CDRDK6MR,"180,568","38,072 ","1,332 ",3.50%,"821,408 ","16,137 ",31 ,0 ,"3,554 ",10.7 ,71 ,11.9%,2.8%,,-,B07FJMQR99,4.4%,0.0%,B0BZQKN5XJ,4.1%,2.8%,B0145WJJVO,3.3%,0.0%,"B07X8PHQBX,B0CPBYM6ZV,B0B7BP6CJN,B09D8T11YS,B09NXS395V,B07SL2X217,B00IULFU4C,B08ZCB9X7R,B0725WFLMB,B08DG3C22G"
heating lamp,加热灯,,0.01%,自然搜索词/SP广告词,"1,643 ",9 ,B0CZ9F35PT/B0CDRDK6MR/B0CTJGJL2T/B0CFLRBTYN/B0CXJ9338V/B0CQQLYD3W/B0CGZS5129/B0C2771TLS/B0DDX8MYKQ,"336,563","5,322 ",139 ,2.64%,"130,234 ","2,276 ",4 ,17 ,"7,443 ",0.7 ,60 ,24.5%,16.7%,$1.50,$1.12 - $1.87,B096JWWQMC,9.2%,4.2%,B0002DHOE0,8.7%,0.0%,B0D5XNQ56G,6.6%,12.5%,"B0C9LH8QKW,B0CSPP5JBT,B0002DHOE0,B0D5XNQ56G,B0CM3FMNC1,B0C9LGRR3S,B096JWWQMC,B0DFQC1KDX,B08YYW6WYZ,B0BD8KJG22"
anthropologie home,人类学之家,,0.01%,自然搜索词/视频广告词,"1,634 ",3 ,B0C27FG8L9/B0CGZS5129/B0CDRDK6MR,"466,226","2,574 ",3 ,0.15%,"61,061 ","1,086 ",1 ,2 ,925 ,2.8 ,9 ,14.9%,0.0%,$0.89,$0.61 - $1.19,B0BLRBXBX5,5.7%,0.0%,B0BTNYL8Y5,5.0%,0.0%,B09F2PMZ5N,4.3%,0.0%,"B0BLRBXBX5,B07V5937C2,B0848KV16X,B0BVCXYFVM,B088R2MKW2,B09F2PMZ5N,B0CG1WYHYQ,B0BN9XZJY4,B0BXPMVF9W,B0BTNYL8Y5"
cozy home,温馨的家,,0.01%,自然搜索词/SP广告词,"1,624 ",2 ,B0CGZS5129/B0CDRDK6MR,"354,010","3,588 ",116 ,3.26%,"95,156 ","1,405 ",3 ,8 ,"153,565 ",0.0 ,33 ,19.9%,0.0%,$0.43,$0.23 - $0.55,B096XYXY5H,11.3%,0.0%,B0B49MZLDB,4.3%,0.0%,B0BWJ7W36N,4.3%,0.0%,"B096XYXY5H,B0BPLB81LX,B0BGBMZMMQ,B0CMTZNT1W,B0B49MZLDB,B0855S6HXZ,B000QTUJXS,B07X11X5QX,B0BXCYHTGN,B0CGZS5129"
vintage decor for bedroom,卧室的复古装饰,,0.01%,自然搜索词/视频广告词,"1,623 ",3 ,B0C27FG8L9/B0CGZS5129/B0CDRDK6MR,"497,802","2,285 ",5 ,0.23%,"68,498 ","1,139 ",1 ,0 ,"108,875 ",0.0 ,20 ,21.8%,0.0%,$0.68,$0.51 - $0.86,B0045SKUS0,12.8%,0.0%,B07569X4LJ,4.5%,0.0%,B08Q2Y9GQS,4.5%,0.0%,"B09LQJBCT7,B0CL5Y8C7V,B0D6B5PW44,B0BBBZ3MNP,B01AUVIVZE,B08Q2Y9GQS,B096H6H344,B0B83WGNZY,B0BYFCQ197,B0CF1Q61T2"
